Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
17/08/2022,17:34:14:824,27227131,1531,82,15.293035,11.405412,0.483956,5.609630,17.498999,34.995622,4.493431,1.002930,0.000000
17/08/2022,17:34:15:808,27228115,1585,75,15.300557,9.376018,0.466219,5.659965,15.502202,32.272643,4.542361,0.994629,0.000000
17/08/2022,17:34:16:826,27229133,2144,83,15.384153,11.619072,0.460555,5.599665,17.679292,35.141827,4.477834,0.956543,0.000000
17/08/2022,17:34:17:814,27230121,1864,77,15.344626,8.505912,0.527411,5.262587,14.295910,30.131742,4.178450,1.075195,0.000000
17/08/2022,17:34:18:818,27231125,3494,76,15.385010,10.345552,0.515250,5.627145,16.487947,33.495389,4.495536,0.934082,1.078125
17/08/2022,17:34:19:820,27232127,1852,73,15.357393,8.638878,0.315156,5.660022,14.614056,31.149854,4.541369,1.010498,0.000000
17/08/2022,17:34:20:809,27233116,1259,75,15.336412,8.995900,0.292762,5.483002,14.771664,30.964723,4.386864,1.054321,0.000000
17/08/2022,17:34:21:827,27234134,1651,72,15.315364,8.922118,0.272591,5.545806,14.740515,31.103960,4.440817,0.982422,0.000000
17/08/2022,17:34:22:814,27235121,1471,72,15.292971,8.502491,0.313998,5.882361,14.698850,31.803933,4.740517,1.012207,0.000000
17/08/2022,17:34:23:816,27236123,1212,72,15.266384,8.517280,0.304496,5.716960,14.538735,31.213824,4.593220,0.972290,0.000000
17/08/2022,17:34:24:817,27237124,1795,67,15.088279,4.948711,0.305541,5.045066,10.299318,24.228396,3.977245,0.781860,0.000000
17/08/2022,17:34:25:820,27238127,1656,82,15.185198,12.041870,0.337280,5.422852,17.802002,36.025300,4.310402,1.026611,0.000000
17/08/2022,17:34:26:823,27239130,1357,77,15.173866,9.245640,0.310713,5.312493,14.868846,31.284625,4.215259,0.919678,0.000000
17/08/2022,17:34:27:808,27240115,1735,82,15.284035,12.311619,0.287328,5.653488,18.252436,35.974011,4.520744,1.046021,0.000000
17/08/2022,17:34:28:827,27241134,2033,81,15.276942,9.253264,0.303566,5.525786,15.082617,31.548621,4.422139,1.037354,0.000000
17/08/2022,17:34:29:812,27242119,1511,76,15.251492,8.667112,0.299725,5.610802,14.577639,31.013489,4.486833,0.975952,0.945312
17/08/2022,17:34:30:815,27243122,3494,75,15.255607,9.467327,0.308336,5.592803,15.368466,32.051249,4.479919,0.911133,0.000000
17/08/2022,17:34:31:818,27244125,1884,73,15.230527,8.668881,0.314800,5.571072,14.554753,30.970261,4.442287,0.990479,0.000000
17/08/2022,17:34:32:833,27245140,1732,73,15.213381,8.908820,0.269881,5.573185,14.751887,31.259573,4.460130,0.835449,0.000000
