Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
18/08/2022,12:15:15:162,5642785,798,46,6.675426,1.254080,0.100876,4.641344,5.996300,7.156720,18.456931,3.720024,0.742676,0.000000
18/08/2022,12:15:16:152,5643775,1588,45,6.653554,1.298373,0.100354,4.669729,6.068457,7.117503,18.419551,3.713164,0.766602,0.921875
18/08/2022,12:15:17:161,5644784,1605,45,6.652461,1.619125,0.102546,4.901013,6.622684,7.100008,19.779024,3.934335,0.841431,0.000000
18/08/2022,12:15:18:165,5645788,1358,46,6.686192,2.494396,0.098539,4.995567,7.588503,7.031107,21.418738,4.032135,0.863281,0.000000
18/08/2022,12:15:19:157,5646780,1312,45,6.667095,1.374932,0.101644,4.677021,6.153597,7.035055,18.119243,3.658465,1.037964,0.000000
18/08/2022,12:15:20:167,5647790,1397,45,6.650220,1.387442,0.101766,4.701579,6.190788,7.005174,18.676574,3.749487,0.743164,0.000000
18/08/2022,12:15:21:157,5648780,1102,45,6.629780,1.323696,0.097439,4.663001,6.084137,6.971885,18.450885,3.699674,1.073120,0.000000
18/08/2022,12:15:22:164,5649787,1702,46,6.628998,1.669324,0.099769,4.838535,6.607628,6.959032,19.744318,3.887939,0.768066,0.000000
18/08/2022,12:15:23:169,5650792,912,46,6.635703,1.700153,0.099447,5.015448,6.815047,6.953849,20.188090,3.989832,0.752930,0.000000
18/08/2022,12:15:24:161,5651784,1648,46,6.617775,1.322955,0.100307,4.712473,6.135735,6.924514,18.885153,3.811718,0.733398,0.000000
18/08/2022,12:15:25:170,5652793,1207,45,6.605840,1.406946,0.102382,4.771571,6.280899,6.901711,18.829899,3.758953,0.776001,0.921875
18/08/2022,12:15:26:165,5653788,1098,46,6.592462,1.384875,0.098237,4.751487,6.234599,6.877648,18.829467,3.799952,0.740967,0.000000
18/08/2022,12:15:27:171,5654794,1596,45,6.592709,1.596861,0.098553,4.904004,6.599419,6.867780,19.969733,3.949540,0.752441,0.000000
18/08/2022,12:15:28:168,5655791,1019,45,6.606946,1.847040,0.095610,5.045512,6.988162,6.872114,20.544688,4.032196,0.743774,0.000000
